Wallet Address,Boosted Score,Unboosted Score,Boost Percentage
0x2c2e790f3534fae11cdd9188c20573836c25877b,23027,17006,35.41
0x2105751d4ff59e3ef29dbeb24c6069b9a5a3721d,9302,6870,35.4
0x7ffeddb3e3b6b87d6288a156650c12c231e5844c,22642,16725,35.38
0xbc8492a5815218920b0c28fd558d427d77c91ab2,5000,3695,35.32
0x4b2c0b9bd6c19e34d980ac82edd9f9b846e26c6f,8734,6455,35.31
0xbae24c3227779b641dc55cbe0dd2aafdde9e3133,4396,3249,35.3
0xdb4cbaa1186c69c0ac8311b25aa7dbca632da181,15291,11303,35.28
0xf5569ef6d42e44d5e8f02e893a931600c418ac7a,4668,3451,35.27
0xc09900ca42b91fbcbe79474f9dee5bf014e1f13b,7117,5262,35.25
0x56109ba6f73e16032abdae012cf31f4d87067057,2632,1946,35.25
0x4d808870f53a642d5489ed958a82ecd975e621e7,32178,23805,35.17
0xf903e613238dbf7ee4a5d7e9d0dacd7663a34aba,246,182,35.16
0x2f67a24aa434ea31f72e5b4930a788375dafe615,20321,15039,35.12
0x1d807b8fec9903e7b69edd01f9e592015366eec9,17901,13264,34.96
0xdf0070360de87de59398ec640175374de330a0d8,7325,5428,34.95
0x3899a5f877e84f515d88ecf2a0afc7e2d33e8b1d,50668,37584,34.81
0xa4754b4c6de2464683cf17fe57e8ed805ff32688,4254,3157,34.75
0x867e7800c5d6e7d391682a425f307284aa8ee316,3175,2357,34.71
0xaae499f60abc75b49c7f0113439c5da4319fabc3,4410,3275,34.66
0x49094d4a1c5a032b7adf49687689155b865d3719,1377,1023,34.6
0xf758536988f95aa278a872031c3068c61e302cc5,47272,35123,34.59
0x51aa8786569f3a628e6968520dde5dcc47248963,6984,5192,34.51
0x28cfa12606ca4f37af1c8700b7b3918a361205b9,4959,3688,34.46
0xed315382fd59b1688e4b3b99a367c5639b0acad8,21830,16246,34.37
0x8f63828687b27e6c82fea3517d2fa9a157d3f5ac,8394,6247,34.37
0xbeac3a689fb42701deff77c7b4dfaafc1df65793,17731,13199,34.34
0x725865e744b6269dc31f2f8550b6b644c20fd1d8,9248,6886,34.3
0x8645b1811a0e582dcd2a3cf42e3dc89a6cd388c6,4498,3352,34.19
0xf234622dc5bfe9639fe6c4a23cc16d399df4efd4,8280,6171,34.18
0x173cb7d2f8faa5b581ae8ec674bbe02deb2df673,4951,3691,34.14
0xb70f05c4e9c5b438917bd8ac8825de51cfa6a207,7872,5869,34.13
0x96dc044a371b4ecaaf8f0c7d05d71970469011ce,4398,3280,34.09
0xde5fee9652ab1656ffe9fab293da0274ba3f0ca8,5922,4418,34.04
0x3c044e3ea8201abd1ee887ae1cd9f0ee9e5e35f4,4741,3537,34.04
0x998fe5f2737665181b957db827c05f55392a28d2,4009,2992,33.99
0xc1589cd9a0fe6f967be7f4ae860efc4d2aa02617,588,439,33.94
0xb67bd47d96c87b8622a8d0b54cc1de5365f0c71b,13429,10027,33.93
0xe8a95dc1b7b2e1f503c3cdd2016541b135c97fec,9997,7469,33.85
0x17d05c8f7f495a652fe506595ece459bfdf3ee83,5579,4169,33.82
0x1e2d04ecbab49ab76dd8cd4729c912c1657fd2ff,3563,2664,33.75
0xdefbffe64156f9b5e854206a62796e08df230948,6620,4950,33.74
0xd0c68be2da85c07442295f319da54c112fb2ce8d,654,489,33.74
0x4d645615989e09f92779a6418fbd39b2e263aa19,10052,7518,33.71
0xd4c85d3901158860da7632726e10f08d9991377d,422,316,33.54
0xc3a649c987f45e1524c9e01420b3ae7e513c019a,3998,2996,33.44
0x473eab8d834c4fa9d5fc5a55560cdb1289cfe923,4054,3039,33.4
0x60aa8a09b6144117a3015ef62d8bf8baad5f3bb0,1025,769,33.29
0xe560344f807a59740cd61617b4f19ffd36851bf4,8746,6568,33.16
0xd5f217010b116653fcabf4611ec00db7b1e0914d,4677,3514,33.1
0x9ed0a3904cacf71226ddc7ec597aae40b9a8cbce,3631,2729,33.05
0x9a58b9a234022c1c8d92b3ff9dfbcdc9cb588aff,992,746,32.98
0x61eb9739dfd15df7623a492c9b8f822608483b3c,4306,3240,32.9
0x282b578d26f33ffb236fe493afa36d2b7412157b,313,236,32.63
0x3178ef0bf0319ad5adf260b0e3b23bfe99fb3bbd,5231,3946,32.56
0xf6427955be361fee70d1923b96737c1b5ec3f2b2,2790,2105,32.54
0xb518c3e023424d2cb114b05de0829d86126e82d4,9623,7262,32.51
0x7055e75dfdb8b22a2542f609ec2eae0a53374867,4139,3124,32.49
0x7b07a89f72ebfe598b52f9ae34587bc15072267b,5967,4504,32.48
0xf670fdbdebb89c4bf9674907a6ff08d9e2c1d791,5505,4156,32.46
0x6a7944eb538643380b48fee0935d232d46c6b339,4917,3712,32.46
0xf842105c186f75cc72205153d339baf172b103a4,4864,3672,32.46
0x5ace364de66dafdb8e879f8743a859d27c6966fb,466,352,32.39
0x866670d6e5c2d9791c16458b3119012fc186e763,503,380,32.37
0xf2290d6f3564e12f851d808cab6a6a98f0250f73,6015,4547,32.29
0x98d6a93fcfe05b72f1233b8f1d809637e42dfa65,10134,7662,32.26
0x4e7d7d43ca2ae5a1dd4d8aa4ae8421e0e218622e,6164,4662,32.22
0x553aacf16e6496f2778d810ae37352c6342bd854,23915,18090,32.2
0x69d9186c911f23dde167186e11dbf73ae1d21422,2435,1842,32.19
